application_id,customer_id,application_date,loan_type,loan_purpose,requested_amount,loan_term_months,interest_rate,applicant_monthly_income,existing_emi,debt_to_income_ratio,collateral_flag,approval_status,approved_amount,decision_date,disbursed_flag,loan_default,first_name,last_name,gender,date_of_birth,age,marital_status,dependents,education,employment_type,occupation,annual_income,city,state,residence_type,years_at_residence,email,phone,kyc_status,customer_since,credit_id,as_of_date,credit_score,num_open_accounts,num_credit_inquiries_6m,credit_utilization_ratio,num_late_payments_30d,num_late_payments_90d,num_defaults_prior,bankruptcies,total_credit_limit,total_outstanding_debt,oldest_account_age_months,default_probability,risk_score,risk_band
APP800031,CUST101390,20-10-2023,Auto,Used Car,922000,24,13.43,117100,11000,0.47,1,Approved,893000,02-11-2023,1,0,Pranav,Kulkarni,Male,06-06-1998,28,Married,2,Post Graduate,Salaried,Nurse,1405000,Mysuru,Karnataka,Mortgaged,10,pranav.kulkarni123@rediffmail.com,-9372535896,Verified,09-09-2016,CR501390,30-06-2024,794,2,3,0.162,0,0,0,0,616000,99800,69,0.144156107,85.6,Low Risk
APP800037,CUST100392,09-03-2023,Personal,Medical Emergency,410000,84,22.51,123600,10000,0.16,0,Approved,391000,25-03-2023,1,0,Pranav,Singh,Male,25-06-1994,32,Single,1,Professional Degree,Business Owner,Restaurant Owner,1483500,Bengaluru,Karnataka,Family Owned,14,pranav.singh938@gmail.com,-8159774170,Pending,30-04-2023,CR500392,30-06-2024,716,6,1,0.058,0,0,0,0,1294000,75100,90,0.10794722,89.2,Low Risk
APP800038,CUST101088,02-12-2022,Personal,Wedding,1256000,24,13.18,30200,200,1.988,0,Approved,1199000,06-12-2022,1,1,Vikram,Banerjee,Male,05-11-1978,47,Married,3,Graduate,Business Owner,Retail Store Owner,362200,Noida,Uttar Pradesh,Rented,4,vikram.banerjee629@rediffmail.com,-7455266938,Verified,26-06-2016,CR501088,30-06-2024,599,2,2,0.276,2,2,0,0,115000,31700,310,0.786434455,21.4,High Risk
APP800039,CUST102151,31-10-2023,Personal,Debt Consolidation,1346000,36,22.78,39000,8200,1.543,1,Approved,968000,10-11-2023,1,1,Shreya,Khan,Female,26-11-1990,35,Married,1,Graduate,Salaried,Nurse,467700,Mumbai,Maharashtra,Owned,17,shreya.khan765@rediffmail.com,-7883286596,Verified,02-05-2016,CR502151,30-06-2024,588,2,4,0.637,1,1,0,0,103000,65600,146,0.871745912,12.8,High Risk
APP800040,CUST104774,30-09-2023,Business,Business Expansion,1864000,48,16.61,58100,19600,1.257,0,Approved,1688000,17-10-2023,1,0,Pranav,Mehta,Male,14-02-1994,32,Married,3,Professional Degree,Salaried,Sales Executive,697100,Kolkata,West Bengal,Family Owned,14,pranav.mehta147@rediffmail.com,-8636434518,Verified,21-04-2019,CR504774,30-06-2024,711,4,1,0.491,0,0,0,0,506000,248400,142,0.377339103,62.3,Medium Risk
APP800046,CUST102105,05-01-2023,Gold,Gold Loan,37000,24,13.9,43000,2300,0.095,1,Approved,29000,11-01-2023,1,0,Dev,Kaur,Male,29-04-1981,45,Single,2,High School,Self-Employed,Doctor (Practice),516300,Lucknow,Uttar Pradesh,Owned,3,dev.kaur777@rediffmail.com,-9691964348,Verified,13-10-2017,CR502105,30-06-2024,760,4,2,0.213,0,0,0,0,449000,95600,264,0.194945823,80.5,Low Risk
APP800047,CUST101651,26-07-2022,Home,Home Construction,8741000,48,9.48,149400,4400,1.498,1,Approved,8114000,12-08-2022,1,0,Nikhil,Kulkarni,Male,05-11-1974,51,Married,1,Graduate,Salaried,Analyst,1793300,Surat,Gujarat,Owned,23,nikhil.kulkarni805@gmail.com,-8119174514,Verified,10-07-2014,CR501651,30-06-2024,791,8,2,0.321,2,1,0,0,884000,283800,339,0.377916807,62.2,Medium Risk
APP800048,CUST103681,17-04-2023,Auto,New Car,803000,48,12.37,74800,1500,0.305,1,Approved,638000,21-04-2023,1,0,Ayaan,Verma,Male,26-03-1972,54,Single,1,Graduate,Business Owner,Trader,898100,Kolkata,West Bengal,Rented,22,ayaan.verma90@rediffmail.com,-7742138563,Verified,14-09-2013,CR503681,30-06-2024,740,5,1,0.279,1,0,0,0,457000,127500,391,0.109380211,89.1,Low Risk
APP800049,CUST104088,26-08-2022,Education,Higher Studies India,1438000,12,10.54,50300,5000,2.618,0,Approved,1250000,29-08-2022,1,1,Zara,Gupta,Female,26-07-1976,49,Single,0,Graduate,Salaried,Nurse,604100,Mumbai,Maharashtra,Rented,18,zara.gupta853@rediffmail.com,-7210468444,Pending,18-05-2022,CR504088,30-06-2024,699,4,3,0.214,1,0,0,0,339000,72500,327,0.873803247,12.6,High Risk
APP800053,CUST103408,30-03-2024,Auto,New Car,810000,48,11.9,74400,4900,0.352,1,Approved,613000,11-04-2024,1,0,Rajesh,Rao,Male,04-12-1990,35,Married,3,Graduate,Salaried,Software Engineer,892200,Delhi,Delhi,Rented,14,rajesh.rao341@outlook.com,-9896159084,Verified,27-05-2014,CR503408,30-06-2024,717,6,1,0.599,0,0,0,0,299000,179100,160,0.08211575,91.8,Low Risk
APP800055,CUST102977,29-01-2024,Personal,Medical Emergency,1083000,84,12.64,76900,13000,0.422,1,Approved,885000,04-02-2024,1,0,Isha,Das,Female,24-06-1996,30,Married,2,Professional Degree,Business Owner,Trader,923000,Mysuru,Karnataka,Owned,11,isha.das769@gmail.com,-7282659507,Pending,07-04-2022,CR502977,30-06-2024,723,3,0,0.076,0,0,0,0,314000,23900,101,0.17536139,82.5,Low Risk
APP800057,CUST103776,29-08-2023,Personal,Travel,106000,36,13.49,59200,14700,0.309,0,Approved,93000,13-09-2023,1,0,Meera,Gupta,Female,05-07-1997,28,Married,1,Professional Degree,Salaried,Teacher,710800,Mumbai,Maharashtra,Owned,10,meera.gupta777@gmail.com,-7853137078,Pending,18-01-2023,CR503776,30-06-2024,702,4,2,0.094,0,0,0,0,417000,39200,52,0.241423165,75.9,Low Risk
APP800060,CUST102863,27-05-2024,Education,Higher Studies India,2879000,120,11.32,57000,10500,0.89,0,Approved,2298000,01-06-2024,1,0,Pooja,Gill,Female,08-12-1982,43,Divorced,1,Post Graduate,Salaried,Sales Executive,683600,Surat,Gujarat,Family Owned,21,pooja.gill409@outlook.com,-7191552518,Verified,12-11-2020,CR502863,30-06-2024,794,4,0,0.255,0,0,0,0,525000,133900,233,0.22764181,77.2,Low Risk
APP800062,CUST102448,09-12-2023,Auto,New Car,850000,84,13.19,51000,7800,0.458,1,Approved,831000,19-12-2023,1,0,Aanya,Rao,Female,02-08-1969,56,Single,0,Diploma,Salaried,Software Engineer,612100,Indore,Madhya Pradesh,Rented,8,aanya.rao960@gmail.com,-8452353962,Pending,14-05-2019,CR502448,30-06-2024,805,3,0,0.209,1,0,0,0,129000,27000,430,0.088654446,91.1,Low Risk
APP800063,CUST104957,06-03-2023,Personal,Home Renovation,686000,48,18.43,149200,21100,0.278,0,Approved,644000,14-03-2023,1,0,Nikhil,Kulkarni,Male,25-02-2003,23,Single,1,Post Graduate,Salaried,Sales Executive,1789800,Kolkata,West Bengal,Family Owned,5,nikhil.kulkarni416@gmail.com,-8871023155,Verified,26-07-2019,CR504957,30-06-2024,682,3,2,0.356,0,0,0,0,1008000,358800,21,0.110961938,88.9,Low Risk
APP800067,CUST101216,01-07-2023,Auto,Two Wheeler,2272000,48,9.61,172000,48800,0.616,1,Approved,1664000,15-07-2023,1,0,Ayaan,Nair,Male,11-11-1997,28,Married,2,Professional Degree,Salaried,HR Manager,2063400,Delhi,Delhi,Rented,0,ayaan.nair592@outlook.com,-9652783424,Verified,14-07-2016,CR501216,30-06-2024,814,3,1,0.565,0,0,0,0,1181000,667300,90,0.142786385,85.7,Low Risk
APP800069,CUST104482,03-10-2022,Gold,Gold Loan,282000,24,11.07,42700,9600,0.533,1,Approved,229000,15-10-2022,1,0,Vihaan,Ahmed,Male,27-08-1987,38,Married,2,Professional Degree,Business Owner,Manufacturer,512100,Delhi,Delhi,Rented,16,vihaan.ahmed967@outlook.com,-8517362239,Pending,24-11-2022,CR504482,30-06-2024,671,2,0,0.384,0,0,0,0,130000,49900,157,0.366476052,63.4,Medium Risk
APP800070,CUST104210,22-10-2023,Auto,Used Car,597000,84,13.35,20000,6800,0.889,1,Approved,488000,06-11-2023,1,0,Swati,Kulkarni,Female,27-06-2005,21,Married,1,Graduate,Salaried,HR Manager,240000,Hyderabad,Telangana,Rented,3,swati.kulkarni84@gmail.com,-7275677871,Verified,04-10-2023,CR504210,30-06-2024,607,2,1,0.446,1,0,0,0,76000,33900,6,0.396528232,60.3,Medium Risk
APP800072,CUST104521,29-04-2024,Home,Home Construction,2866000,84,9.91,37200,10100,1.546,1,Approved,2595000,12-05-2024,1,0,Vivaan,Nair,Male,18-04-1977,49,Married,1,Graduate,Self-Employed,Lawyer,446800,Coimbatore,Tamil Nadu,Rented,4,vivaan.nair831@gmail.com,-9734084520,Pending,20-11-2018,CR504521,30-06-2024,669,1,2,0.073,1,0,0,0,170000,12400,299,0.735726661,26.4,High Risk
APP800077,CUST102355,12-02-2024,Home,Home Purchase,11880000,24,9.72,117900,38400,3,1,Approved,8325000,02-03-2024,1,0,Manish,Deshpande,Male,14-04-1973,53,Single,3,Graduate,Business Owner,Restaurant Owner,1414900,Gurugram,Haryana,Mortgaged,19,manish.deshpande745@gmail.com,-7721084669,Verified,24-07-2013,CR502355,30-06-2024,780,5,5,0.448,0,0,0,0,589000,263900,380,0.939309922,6.1,High Risk
APP800078,CUST103256,05-01-2024,Personal,Medical Emergency,1285000,84,13.91,102700,500,0.239,0,Approved,927000,07-01-2024,1,0,Deepak,Mehta,Male,13-01-1988,38,Married,1,Post Graduate,Business Owner,Restaurant Owner,1232100,Kochi,Kerala,Mortgaged,8,deepak.mehta809@gmail.com,-8195717832,Verified,18-02-2021,CR503256,30-06-2024,754,9,2,0.576,0,0,0,0,848000,488400,178,0.227497012,77.3,Low Risk
APP800079,CUST100932,22-12-2022,Home,Plot Purchase,4541000,84,9.32,80600,17700,1.135,1,Approved,4051000,27-12-2022,1,0,Fatima,Mukherjee,Female,21-04-1983,43,Single,0,Diploma,Salaried,HR Manager,967700,Delhi,Delhi,Rented,1,fatima.mukherjee926@yahoo.in,-8499085890,Pending,17-07-2023,CR500932,30-06-2024,765,5,2,0.171,0,0,0,0,830000,141900,251,0.138296865,86.2,Low Risk
APP800081,CUST101955,12-02-2023,Education,Skill Certification,1348000,12,11.24,125500,30100,1.191,0,Approved,1151000,16-02-2023,1,0,Dev,Malhotra,Male,06-07-1983,42,Married,1,Professional Degree,Business Owner,Manufacturer,1505600,Kolkata,West Bengal,Family Owned,9,dev.malhotra998@gmail.com,-8366876430,Pending,20-09-2019,CR501955,30-06-2024,793,4,1,0.386,1,0,0,0,1294000,499500,236,0.589816436,41,Medium Risk
APP800083,CUST103933,20-11-2022,Personal,Travel,440000,12,23.52,19800,5600,2.381,0,Approved,424000,07-12-2022,1,0,Yash,Khan,Male,09-12-1995,30,Married,0,High School,Salaried,Bank Officer,237400,Surat,Gujarat,Owned,12,yash.khan505@gmail.com,-9641135688,Verified,08-01-2021,CR503933,30-06-2024,718,1,2,0.401,0,0,0,0,192000,77000,95,0.685883119,31.4,High Risk
APP800088,CUST101005,30-05-2023,Personal,Travel,1414000,84,15.69,76100,25400,0.699,0,Approved,1276000,06-06-2023,1,0,Ayaan,Kaur,Male,13-02-1975,51,Single,0,Graduate,Business Owner,Contractor,913300,Coimbatore,Tamil Nadu,Family Owned,9,ayaan.kaur21@rediffmail.com,-7894436784,Verified,05-10-2016,CR501005,30-06-2024,722,5,2,0.524,2,0,0,0,760000,398200,316,0.532231509,46.8,Medium Risk
APP800090,CUST102200,24-07-2023,Auto,Used Car,591000,12,9.65,41400,13800,1.586,1,Approved,535000,30-07-2023,1,0,Ishaan,Kapoor,Male,14-07-1982,43,Single,1,Diploma,Salaried,Teacher,496900,Lucknow,Uttar Pradesh,Owned,9,ishaan.kapoor29@outlook.com,-8277409328,Pending,20-05-2018,CR502200,30-06-2024,707,4,1,0.224,0,0,0,0,401000,89800,235,0.513726714,48.6,Medium Risk
APP800091,CUST101571,28-03-2023,Personal,Debt Consolidation,546000,60,12.76,68900,1100,0.195,0,Approved,534000,29-03-2023,1,0,Swati,Bhat,Female,20-02-1998,28,Single,2,Post Graduate,Salaried,Bank Officer,827200,Gurugram,Haryana,Rented,4,swati.bhat338@rediffmail.com,-7944061987,Verified,15-09-2021,CR501571,30-06-2024,759,5,1,0.229,0,0,0,0,288000,66000,95,0.113701664,88.6,Low Risk
APP800093,CUST100555,19-01-2023,Business,Business Expansion,2072000,36,12.1,63200,14300,1.318,1,Approved,2036000,03-02-2023,1,1,Pooja,Iyer,Female,18-06-1978,48,Married,0,Post Graduate,Self-Employed,Doctor (Practice),757800,Ahmedabad,Gujarat,Owned,13,pooja.iyer463@yahoo.in,-8531374391,Verified,06-12-2021,CR500555,30-06-2024,632,3,1,0.255,3,1,0,0,492000,125500,284,0.718251938,28.2,High Risk
APP800094,CUST102858,02-06-2023,Business,Equipment Purchase,4286000,36,19.13,20300,500,3,0,Approved,3850000,11-06-2023,1,0,Kabir,Nair,Male,22-12-1981,44,Single,2,Diploma,Salaried,Teacher,243600,Bengaluru,Karnataka,Mortgaged,19,kabir.nair813@gmail.com,-9383028114,Pending,10-03-2019,CR502858,30-06-2024,653,3,3,0.469,0,0,0,0,96000,45000,237,0.746821418,25.3,High Risk
APP800095,CUST102266,07-04-2023,Business,Business Expansion,3846000,36,12.45,33500,7600,3,0,Approved,2812000,16-04-2023,1,1,Zaid,Patel,Male,16-01-1987,39,Married,2,Graduate,Salaried,Accountant,402400,Jaipur,Rajasthan,Mortgaged,6,zaid.patel987@gmail.com,-9610419160,Verified,12-08-2016,CR502266,30-06-2024,569,5,4,0.551,1,1,0,0,240000,132200,217,0.880505603,11.9,High Risk
APP800096,CUST102880,16-05-2023,Education,Higher Studies India,2859000,60,10.8,277200,78800,0.507,0,Approved,2543000,23-05-2023,1,0,Isha,Banerjee,Female,15-06-1985,41,Married,0,Professional Degree,Salaried,Analyst,3326400,Noida,Uttar Pradesh,Family Owned,9,isha.banerjee848@gmail.com,-8499248962,Verified,31-01-2014,CR502880,30-06-2024,900,6,0,0.02,0,0,0,0,2219000,44400,233,0.021321459,97.9,Low Risk
APP800099,CUST104909,07-06-2023,Home,Balance Transfer,3365000,48,8.12,62500,10200,1.48,1,Approved,2475000,14-06-2023,1,1,Ayesha,Sheikh,Female,07-03-1990,36,Married,1,Professional Degree,Salaried,Bank Officer,750300,Pune,Maharashtra,Owned,18,ayesha.sheikh166@outlook.com,-8393511648,Verified,12-06-2022,CR504909,30-06-2024,736,3,1,0.509,0,0,0,0,262000,133400,165,0.465763014,53.4,Medium Risk
APP800112,CUST102075,24-10-2022,Personal,Travel,825000,84,15.02,68800,15800,0.461,0,Approved,686000,03-11-2022,1,1,Rajesh,Joshi,Male,13-01-1985,41,Married,1,Post Graduate,Business Owner,Contractor,826200,Mumbai,Maharashtra,Mortgaged,22,rajesh.joshi321@gmail.com,-7646318078,Verified,09-04-2023,CR502075,30-06-2024,636,2,1,0.372,3,0,0,0,220000,81800,203,0.415403228,58.5,Medium Risk
APP800114,CUST100273,27-04-2023,Home,Home Purchase,2069000,180,9.77,29500,8100,1.02,1,Approved,2041000,29-04-2023,1,0,Ayaan,Rao,Male,25-10-2000,25,Married,2,Post Graduate,Salaried,Accountant,353600,Coimbatore,Tamil Nadu,Rented,7,ayaan.rao997@outlook.com,-7619849093,Pending,07-06-2021,CR500273,30-06-2024,650,3,2,0.893,1,1,0,0,197000,175900,51,0.42384407,57.6,Medium Risk
APP800116,CUST104551,15-03-2023,Auto,Used Car,577000,24,10.74,43100,4000,0.716,1,Approved,514000,18-03-2023,1,0,Riya,Reddy,Female,01-11-1992,33,Married,5,Graduate,Salaried,Bank Officer,516900,Mumbai,Maharashtra,Owned,11,riya.reddy321@gmail.com,-7792030837,Verified,20-02-2024,CR504551,30-06-2024,707,7,4,0.076,0,0,0,0,362000,27500,111,0.435517466,56.4,Medium Risk
APP800120,CUST101569,01-08-2022,Personal,Home Renovation,161000,24,12.22,45300,8100,0.347,0,Approved,117000,13-08-2022,1,0,Anil,Banerjee,Male,24-05-1993,33,Married,2,Diploma,Salaried,Nurse,543400,Coimbatore,Tamil Nadu,Owned,3,anil.banerjee941@gmail.com,-9592636448,Verified,02-04-2015,CR501569,30-06-2024,629,6,2,0.193,2,0,0,0,196000,37800,132,0.45126331,54.9,Medium Risk
APP800122,CUST102276,22-09-2023,Auto,Used Car,417000,12,13.87,16100,3400,2.533,1,Approved,340000,04-10-2023,1,1,Tanvi,Malhotra,Female,29-06-1976,50,Single,1,Diploma,Self-Employed,Lawyer,193400,Coimbatore,Tamil Nadu,Mortgaged,2,tanvi.malhotra605@yahoo.in,-7370464912,Verified,15-12-2020,CR502276,30-06-2024,591,5,0,0.302,2,1,0,0,42000,12700,324,0.842150665,15.8,High Risk
APP800127,CUST101315,03-02-2023,Auto,New Car,1869000,60,9.08,33000,9900,1.478,1,Approved,1726000,11-02-2023,1,0,Pranav,Gill,Male,20-12-1973,52,Single,3,Graduate,Salaried,Analyst,396000,Coimbatore,Tamil Nadu,Rented,2,pranav.gill709@rediffmail.com,-7929955130,Verified,14-05-2015,CR501315,30-06-2024,664,6,4,0.288,0,0,1,0,235000,67700,335,0.585327424,41.5,Medium Risk
APP800128,CUST102213,13-02-2023,Education,Skill Certification,3831000,120,10.26,73600,13300,0.876,1,Approved,2778000,15-02-2023,1,1,Reyansh,Gill,Male,07-01-1986,40,Married,0,Diploma,Business Owner,Restaurant Owner,882900,Jaipur,Rajasthan,Rented,22,reyansh.gill299@gmail.com,-8072404056,Verified,13-09-2017,CR502213,30-06-2024,678,3,5,0.336,0,0,0,0,352000,118300,231,0.744498394,25.6,High Risk
APP800132,CUST100335,17-09-2022,Personal,Wedding,1360000,84,18.2,64800,10600,0.607,0,Approved,1138000,30-09-2022,1,0,Manish,Sheikh,Male,06-01-1975,51,Single,2,Post Graduate,Business Owner,Trader,777900,Chennai,Tamil Nadu,Rented,3,manish.sheikh252@outlook.com,-8270289494,Verified,15-07-2015,CR500335,30-06-2024,643,4,0,0.383,2,0,1,0,342000,131000,320,0.4119588,58.8,Medium Risk
APP800134,CUST104205,13-11-2023,Business,Working Capital,1011000,84,12.76,13000,3400,1.666,0,Approved,977000,22-11-2023,1,0,Vikram,Sharma,Male,11-10-1989,36,Married,0,Diploma,Salaried,Teacher,156000,Lucknow,Uttar Pradesh,Mortgaged,10,vikram.sharma776@yahoo.in,-9615207273,Verified,27-10-2014,CR504205,30-06-2024,473,2,4,0.567,1,0,0,0,87000,49300,171,0.911730498,8.8,High Risk
APP800138,CUST101956,25-09-2023,Auto,New Car,521000,24,10.44,21200,2700,1.265,1,Approved,509000,15-10-2023,1,0,Aadhya,Reddy,Female,13-08-1993,32,Married,0,High School,Salaried,Software Engineer,254600,Mysuru,Karnataka,Owned,14,aadhya.reddy280@gmail.com,-7376006570,Pending,29-10-2021,CR501956,30-06-2024,586,1,4,0.264,0,0,0,0,207000,54600,92,0.582248517,41.8,Medium Risk
APP800139,CUST100516,01-10-2023,Personal,Home Renovation,1465000,36,11.25,56300,7200,0.983,0,Approved,1323000,12-10-2023,1,0,Ayaan,Kaur,Male,24-01-2003,23,Married,0,Professional Degree,Self-Employed,Doctor (Practice),675300,Hyderabad,Telangana,Rented,5,ayaan.kaur561@rediffmail.com,-9866634379,Verified,19-11-2021,CR500516,30-06-2024,650,4,0,0.37,0,0,0,0,560000,207200,6,0.395900108,60.4,Medium Risk
APP800140,CUST100982,25-01-2023,Personal,Debt Consolidation,1018000,84,11.5,146900,19800,0.255,0,Approved,936000,10-02-2023,1,0,Pranav,Khan,Male,30-12-1995,30,Divorced,1,Post Graduate,Self-Employed,Chartered Accountant,1762900,Bengaluru,Karnataka,Owned,11,pranav.khan58@yahoo.in,-9340580499,Pending,31-10-2017,CR500982,30-06-2024,741,3,1,0.441,0,0,0,0,769000,339100,85,0.300993941,69.9,Medium Risk
APP800142,CUST102087,11-03-2023,Personal,Travel,1038000,60,18,40300,2500,0.717,0,Approved,880000,19-03-2023,1,0,Aarav,Ahmed,Male,26-11-1992,33,Widowed,1,High School,Salaried,Sales Executive,483300,Chandigarh,Chandigarh,Mortgaged,15,aarav.ahmed658@outlook.com,-8615536642,Verified,10-09-2016,CR502087,30-06-2024,605,1,0,0.258,1,0,0,0,149000,38400,112,0.582845291,41.7,Medium Risk
APP800146,CUST103924,13-09-2023,Auto,Used Car,2321000,84,12.03,54200,6100,0.87,1,Approved,1705000,29-09-2023,1,1,Dev,Das,Male,06-01-1975,51,Single,3,Graduate,Retired,Pensioner,650000,Mysuru,Karnataka,Rented,14,dev.das275@gmail.com,-7881445752,Verified,16-05-2018,CR503924,30-06-2024,672,2,1,0.425,0,0,0,0,490000,208200,347,0.518419027,48.2,Medium Risk
APP800148,CUST100424,29-05-2023,Gold,Gold Loan,179000,36,10.62,36300,9200,0.414,1,Approved,162000,10-06-2023,1,0,Fatima,Joshi,Female,21-10-1978,47,Married,1,Post Graduate,Salaried,Sales Executive,436000,Nagpur,Maharashtra,Rented,15,fatima.joshi159@rediffmail.com,-8524630539,Pending,28-11-2014,CR500424,30-06-2024,740,4,0,0.285,0,0,0,0,256000,73000,292,0.172398636,82.8,Low Risk
APP800150,CUST101003,05-01-2024,Personal,Travel,315000,24,13.7,46400,12000,0.584,0,Approved,272000,10-01-2024,1,1,Ishaan,Malhotra,Male,30-08-1991,34,Single,1,Post Graduate,Business Owner,Manufacturer,556300,Nagpur,Maharashtra,Owned,16,ishaan.malhotra826@yahoo.in,-8864415561,Verified,22-01-2024,CR501003,30-06-2024,602,4,1,0.115,3,0,0,0,462000,53100,122,0.589771152,41,Medium Risk
APP800151,CUST104903,31-05-2024,Business,Equipment Purchase,3876000,36,15.36,31400,700,3,0,Approved,2791000,12-06-2024,1,0,Ananya,Kaur,Female,18-03-2005,21,Divorced,0,High School,Business Owner,Manufacturer,377100,Delhi,Delhi,Rented,3,ananya.kaur773@outlook.com,-7418710536,Pending,21-03-2022,CR504903,30-06-2024,675,3,1,0.534,0,0,0,0,203000,108400,6,0.681066729,31.9,High Risk
